name,description,price,introduction,item_spec
韓國🇰🇷 Foody Buddy 佳味寶 牛肉蘿蔔湯 / 牛肉白菜味噌湯 / 韓牛雪濃湯 180g,,"['NT$136~NT$168', 'NT$136', 'NT$168']","['孩童韓國牛肉湯包', '份量:180g', '方便小包裝 用料單純健康 專為兒童健康打造 大人小孩都可安心', '韓國原裝進口 韓國Foody Buddy 鹽分含量低 快速食用', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lz4h7442cwf265', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lz32cglg0ook21', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lz32cglg2390cd', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lz32cglg3htg6c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lz32cglg4wdw4e', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lz32cglg6ayc1b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lz32cglg7pis51', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lz32cglg9438d2', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lz3503wn6tboea', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lz3503wn9mgka3', ' ', ' ', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lz4h7442a3a6df', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lz4h7442bhumd1']","['牛肉蘿蔔湯', '牛肉白菜味噌湯', '韓牛雪濃湯']"
清淨園HOME:ing 牛膝骨湯,,"['NT$220', 'NT$299']","['● 精選優質牛膝骨作為主要成分，確保每一包調理包都包含豐富的膠原蛋白和營養素，適合追求高品質飲食的消費者。', '● 採用經典的慢熬技術，長時間熬煮牛膝骨，提取其精華，讓湯底更濃郁、更鮮美，保留更多天然的營養成分。', '● 調理包採用獨立包裝設計，便於保存和使用，無需繁瑣的準備，輕鬆享受美味湯品。', '● 除了可直接用來煮湯，還可作為各類湯品和菜餚的底湯，增添風味和營養，適合家庭餐桌和宴客需求。', ' ', '食用建議：', '直接調理： 開包後可將調理包內容物倒入鍋中，加入適量水，慢火煮至湯品入味即可。', '加熱方式： 建議先將調理包內容物加熱至適口溫度，也可根據個人口味添加調味料，如鹽、胡椒等。', '料理搭配： 可根據需要將調理包湯底用作各類湯品的底湯，或添加其他食材如蔬菜、肉類等，提升湯品風味和營養價值。', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_4c811cc4-6702-4d50-8246-a594be361319.jpeg', ' ']",[]
韓國🇰🇷 JARDIN Cafereal 水蜜桃冰茶 230ml,,"['NT$36', 'NT$59']","['・炎炎夏日消暑解渴的沁涼冰茶', '・經典英式紅茶風味與果香結合', '・隨時隨地想喝就沖泡，攜帶方便']",[]
韓國🇰🇷 Ice TaLK 榛果香咖啡 單包 230ml,,"['NT$42', 'NT$59']","['【韓國Ice Talk榛果香 袋裝咖啡】230ml', ' ', '✰即開即飲、隨時隨地補充咖啡因！', ' ', '韓國超人氣熱賣！人手一袋的袋裝飲料包！', '無論是放在家中或是帶出門飲用，簡潔時髦的外型設計，搭配清爽不甜膩的咖啡香氣，在辦公室飲用超級吸睛！', ' ', '✰冷藏過後風味更佳，請置於陰涼處保存並且勿直接陽光照射，以免變質。', ' ', '●內容物/規格: 230ml', '● 保存期限: 360天', '● 成分: 水、白糖、咖啡濃縮液、麥芽湖精、香料、碳酸氫鈉、葡萄抽出物', '● 保存條件: 常溫。避免陽光照射。', '● 產地: 韓國', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzgeknjs2i9g65', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzgeknjs3wtwe3', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzgeknjs5bec49', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lyyy53kfhb0421']",[]
韓國🇰🇷《韓國Café Mcnulty》即飲美式無糖黑咖啡 單包 190ml,,"['NT$35', 'NT$55']","['香醇濃郁，口感滑順，讓您在家也能輕鬆享受咖啡廳的美味。嚴選巴西頂級咖啡豆，萃取出的濃縮咖啡，完美融合了咖啡的醇厚與甘甜。無論是炎炎夏日還是悠閒午後，來一杯冰美式黑咖啡，都能為您帶來滿滿的幸福感。貼心的袋裝設計，方便攜帶，讓您隨時隨地都能享受咖啡的香醇。', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzgsh5wnzsac0e', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzgeknjs84j8d2', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzgeknjs9j3o36', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lz06aqsaeynob7', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzgsh5wnu60kf1', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzgsh5wnvkl00b', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lz06aqsagd8448', ' ', ' ', ' ', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzgsh5wnwz5gf5', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lz06aqsaj6d014', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzgsh5wnydpw4c']",[]
韓國🇰🇷 Naturalness 韓國產加鈣地瓜塊 60g,,"['NT$136', 'NT$159']","['', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzgu2utumqd03d', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzgsh5wo16us48', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzgsh5wo3zzod6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzgsh5wo5ek446', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzgsh5wo6t4k3c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzgu2utuh4382d', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lzgu2utuiino9a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzgu2utujx84c3']",[]
韓國🇰🇷 熊津 Nature is My Love 蘋果果汁 180ml,,"['NT$26', 'NT$55']","[' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzgu2utuo4xgc8', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzgu2utupjhw4a']",[]
韓國🇰🇷 VIVID 0卡麝香葡萄飲料 單包 190ml,,"['NT$40', 'NT$59']","[' ', ' ', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzgu2utuqy2c7d']",[]
韓國🇰🇷 好麗友 ORION 千層酥打餅乾 焦糖可頌風味 196.8g,,"['NT$138', 'NT$199']","['■ 精選優質食材，層層香酥，口感豐富。', '■ 酥脆可口，每一口都帶給您滿足的味蕾享受。', '■ 小巧包裝，方便攜帶，隨時隨地都能享受美味。', '■ 無論是當成休閒零食，還是搭配茶飲或咖啡，都是絕佳的選擇。', '■ 經過40小時發酵，帶給您醇厚的風味。', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzgwzhlyhcta6f', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzgwzhlyirdqf6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzgwzhlyk5y656', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzgwzhlylkim5a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzgwzhlymz32a5', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzh36tpyio6sf0', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzh36tpyk2r88b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzh36tpylhboc5', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lyn1kx6zbcvo30', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lyn1kx6zcrg4b6']",[]
韓國🇰🇷 鯊魚寶寶 兒童沐浴巾 黃色款,,"['NT$250', 'NT$299']","['', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzh36tpymvw4cb', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzh36tpyoagk46', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzh36tpypp1069', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzh36tpyr3lge3', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzh36tpysi5w18', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzh36tpytwqc24', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lyd37h9saza65a']",[]
韓國🇰🇷 鯊魚寶寶 漂浮印章 碰碰狐 Baby Shark 兒童印章 可愛 Q萌 超人氣,,"['NT$138', 'NT$209']","['碰碰狐鯊魚寶寶漂浮印章(單個)', ' ', '🥳🥳韓國超人氣角色碰碰狐和鯊魚家族', '推出一系列的超可愛漂浮印章~😍😍', ' ', '總共有12款超可愛Q萌圖案', '🦈每款圖案細節都很精緻豐富🐧', '收集控必收藏~😏😏', ' ', '印章墨水出水平均', '蓋出來的圖案都清晰不模糊👌', ' ', '透明漂浮在水中的超Q公仔', '光是放在桌上都讓心情變好～🥰🥰', ' ', '價格：$138', ' ', '*韓國品牌，中國製造', ' ', '★規格：單個(顏色款式隨機)', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzhbz06np7g4c9', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzhbz06nqm0kdc', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzhbz06ns0l019', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzhbz06ntf5g8c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzhbz06nnsvoaf']",[]
韓國🇰🇷 NONGSHIM農心 辛香菇味杯麵 68g,,['NT$45'],"['韓國NONGSHIM農心辛香菇味杯麵是一款以辛辣濃郁的湯底和香菇風味為特色的方便麵。', '湯頭融合了辛辣和香菇的鮮美，味道濃郁且層次豐富，麵條有彈性，入口滑順。', '方便的杯裝設計，讓你隨時隨地享用這款韓式美味，是喜愛辛辣口感者的絕佳選擇。', '✅湯頭獨特、香氣十足🍜', '✅外食族的最愛🧡', '✅麵條Q彈有勁✨', '✅宵夜最佳選擇👌', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzpxtlcg6l84a3', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzpxtlcg7zsk88']",[]
韓國🇰🇷 OTTOGI不倒翁 起司風味湯杯麵 62g,,"['NT$88,888']","['韓國不倒翁OTTOGI起司風味杯麵是一款將濃郁起司與Q彈麵條完美結合的方便麵。', '香濃的起司湯底讓人一口即享，濃郁的奶香與麵條配合得恰到好處。', '方便的杯裝設計，讓你隨時隨地享用這款溫暖滿足的美味，是起司愛好者不可錯過的選擇。', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzpxtlcgasxgcc']",[]
韓國🇰🇷 NONGSHIM農心 辛辣白菜風味杯麵 75g,,"['NT$88,888']","['NONGSHIM農心辛辣白菜風味杯麵', '以經典韓式辛辣湯頭和爽脆的泡菜風味為特色，帶來獨特的口感體驗。', '濃郁的湯底融合了辛辣與酸香的泡菜味，讓人食慾大開。😋😋😋', '麵條Q彈有勁，搭配經典的韓式風味，方便的杯裝設計，隨時隨地享受這份辛辣美味！！！', '✅宵夜的好選擇', '✅輕鬆外食族', '✅酸爽辛辣開胃']",[]
復古迷你桌上小電扇 桌面風扇 電風扇 復古風扇 辨公室風扇 迷你風扇 USB風扇 插電/電池兩用扇 粉色,,"['NT$88', 'NT$199']","['供電方式: USB', ' ', '噪音噪音:36-45db(含)', ' ', '顏色:, 粉色', '內置電池容量:300mah 至 500mAh(含)', ' ', '外殼工藝:噴塗(uv漆,橡膠漆,金屬漆,鋼琴漆,珠光粉)', ' ', '產品淨重:0.135kg', ' ', '續航時間: 1-3h(含)', ' ', '電機類型: 有刷電機', ' ', '是否支持充電: 是', ' ', '包裝體積: 11.5*7.8*9CM', ' ', '額定電壓: 5個', ' ', '附加功能: 桌面,兩檔', ' ', '風扇葉片數量: 3片', ' ', '風扇分類: USB風扇', ' ', '外觀尺寸:110*73*85', ' ', '額定功率: 1.5', ' ', '內置電池:內置電池', ' ', '規格:粉色', ' ', '風扇葉徑:(2檔+400毫安+彩盒包裝)', ' ', '操作方式: 普通按鍵式', ' ', '適用面積: 個人', ' ', '搖頭搖頭: 上下搖頭', ' ', '風速檔位: 2檔\u3000顏色:粉色']",[]
韓國🇰🇷 OTTOGI不倒翁 Q拉麵 110g,,"['NT$88,888']","['韓國OTTOGI不倒翁Q拉麵的純麵條以其獨特的彈性和嚼勁而聞名，麵條粗細適中，烹煮後依然保持Q彈口感。', '不添加調味料，適合搭配各種湯底或自行創意料理。', '🙋\u200d♀️🙋\u200d♀️🙋\u200d♀️可以自己做做看以下的創意料理🙋\u200d♀️🙋\u200d♀️🙋\u200d♀️', '✅清湯麵：用雞湯或牛骨湯煮麵，加入蔬菜和蛋花，清淡又美味。', '✅炒麵：將麵條煮熟後過冷水，再與蔬菜、肉類、醬油等一起翻炒。', '✅冷麵：將煮熟的麵條過冷水，加上冷湯、黃瓜、雞蛋等，適合夏日享用。', '✅湯麵：搭配辣椒醬、豆芽、青菜，做成韓式辣湯麵，風味十足。', '✅咖哩麵：將麵條與咖哩湯汁一起煮，增添濃郁風味。', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzpxtlcgdm2ccb', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzpxtlcgf0ms38', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzpxtlcggf78fc']","['整袋(5包)', '單包']"
韓國🇰🇷 NONGSHIM農心 辛拉麵(官方境內版) 120g,,"['NT$88,888']","['NONGSHIM農心辛拉麵以其經典的辛辣湯頭和Q彈麵條而深受喜愛！', '✅湯底濃郁辛香，層次豐富', '✅搭配具嚼勁的麵條', '為韓式辛辣麵的代表之作，是辣味愛好者不可錯過的美味選擇。😋😋😋👌✨', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzq1hamli0ok52', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzq1hamljf90eb']","['整袋(5包)', '單包']"
韓國🇰🇷 ATOPALM愛多康 舒敏全效修護霜 65ml,,['NT$720'],"['韓國ATOPALM愛多康舒敏全效修護霜專為敏感肌膚設計，富含植物萃取和保濕成分。', '它能有效舒緩肌膚不適，修護乾燥與損傷並形成保護膜，鎖住水分👌✨', '✅質地輕盈✅不油膩✅適合日常使用，令肌膚保持柔嫩和舒適。', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzq1hamlkttgb7', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzq1hamlnmyc48', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzq1hamlp1is35', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzq1hamlqg3841']",[]
韓國🇰🇷 NOKCHAWON 綠茶園 濟州抹茶拿鐵 盒裝(18gx10入),,"['NT$260', 'NT$399']","['100%🇰🇷韓國濟州島商品', '一沖泡即散發滿滿抹茶香，融合濃濃奶香，甜度適中不會過於甜膩☺️', '夏日冷泡冰涼滑順、冬日熱飲香濃醇厚，獨立包裝方便攜帶，快速簡便冷熱都好喝👍🏻', ' ', '商品描述', '品牌: Nokchawon', '原產地: 韓國_ 韓國', '套餐資訊: 一次包裝', '容量及數量: 10p', '是減少澀味,增強濃抹茶味道的拿鐵。', '在水中或牛奶中揉搓,可輕鬆享受的棒狀粉末拿鐵。', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzq72zsxkjjob0', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzq72zsxly44d1', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzq72zsxsyycb4', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzq72zsxncok77', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzq72zsxor907e', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzq72zsxq5tgca', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzq72zsxudis52', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzq72zsxrkdw74', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzq1lbddsvtq13']",[]
韓國🇰🇷 OTTOGI 不倒翁 蘋果醋 1.8L,,"['NT$190', 'NT$299']","['韓國 OTTOGI 不倒翁蘋果醋 以新鮮蘋果釀造，口感酸甜適中，富含天然果酸與營養成分。', '適合作為沙拉醬、調味料或飲品基底，能增添料理風味，亦有助於促進消化，是健康飲食的理想選擇！', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzq72zsxvs38ac', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzq72zsxx6noea']",['1.8L']
